Year,Version,Category_Name,SubCategory_Name,Project_Code,Project_Name,Funding_Source,Total,Thru FY23,Est FY24,Total6,FY 25,FY 26,FY 27,FY 28,FY 29,FY 30,Beyond
2025,Approved,M-NCPPC,Development,P008720,Ballfield Initiatives,G.O. Bonds,25098,6190,5108,13800,2300,2300,2300,2300,2300,2300,0
2025,Approved,M-NCPPC,Development,P008720,Ballfield Initiatives,PAYGO,1875,1875,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P008720,Ballfield Initiatives,Current Revenue: CUPF,1550,1442,108,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P008720,Ballfield Initiatives,Current Revenue: General,174,174,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P008720,Ballfield Initiatives,State Aid,1025,0,1025,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P010100,Council Office Building Renovations,Current Revenue: Cable TV,1052,900,152,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P010100,Council Office Building Renovations,G.O. Bonds,44528,41431,381,2716,2601,115,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P010100,Council Office Building Renovations,Long-Term Financing,4000,4000,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P010100,Council Office Building Renovations,PAYGO,164,164,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P010100,Council Office Building Renovations,Current Revenue: General,971,0,0,971,971,0,0,0,0,0,0
2025,Approved,Montgomery County Public Schools,Countywide,P016532,Fire Safety Code Upgrades,G.O. Bonds,35502,19762,3106,12634,2317,2317,2000,2000,2000,2000,0
2025,Approved,M-NCPPC,Acquisition,P018710,Legacy Open Space,Contributions,938,938,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Acquisition,P018710,Legacy Open Space,Current Revenue: General,12294,10581,723,690,115,115,115,115,115,115,300
2025,Approved,M-NCPPC,Acquisition,P018710,Legacy Open Space,G.O. Bonds,54274,36130,3448,6059,559,1100,1100,1100,1100,1100,8637
2025,Approved,M-NCPPC,Acquisition,P018710,Legacy Open Space,PAYGO,17855,17855,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Acquisition,P018710,Legacy Open Space,POS-Stateside (M-NCPPC Only),200,200,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Acquisition,P018710,Legacy Open Space,M-NCPPC Bonds,10436,8959,911,0,0,0,0,0,0,0,566
2025,Approved,M-NCPPC,Acquisition,P018710,Legacy Open Space,Program Open Space,4003,4003,0,0,0,0,0,0,0,0,0
2025,Approved,WSSC,Sewerage Bi-County,P023805,Blue Plains WWTP:Plant Wide Projects,Municipal (WSSC Only),7703,0,835,6214,866,1058,1280,1136,1169,705,654
2025,Approved,WSSC,Sewerage Bi-County,P023805,Blue Plains WWTP:Plant Wide Projects,WSSC Bonds,133879,0,14379,108116,15067,18406,22269,19769,20343,12262,11384
2025,Approved,WSSC,Water Bi-County,P033812,Potomac WFP Submerged Channel Intake,WSSC Bonds,102215,2267,0,32130,840,840,840,1050,1050,27510,67818
2025,Approved,Montgomery County Public Schools,Countywide,P036510,Technology Modernization,Current Revenue: General,284694,105354,34094,145246,25479,24890,25901,22992,22992,22992,0
2025,Approved,Montgomery County Public Schools,Countywide,P036510,Technology Modernization,Recordation Tax,285243,255150,5745,24348,1769,3456,2599,5508,5508,5508,0
2025,Approved,Montgomery County Public Schools,Countywide,P036510,Technology Modernization,Federal Aid,28395,28397,-2,0,0,0,0,0,0,0,0
2025,Approved,Montgomery County Public Schools,Countywide,P036510,Technology Modernization,Current Revenue: MCPS,750,750,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P038703,Laytonia Recreational Park,G.O. Bonds,5671,5205,466,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P038703,Laytonia Recreational Park,PAYGO,3908,3908,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P038703,Laytonia Recreational Park,Program Open Space,3000,3000,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P048703,Rock Creek Trail Pedestrian Bridge,Contributions,261,261,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P048703,Rock Creek Trail Pedestrian Bridge,G.O. Bonds,3207,2358,849,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P048703,Rock Creek Trail Pedestrian Bridge,Program Open Space,1370,1370,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P048703,Rock Creek Trail Pedestrian Bridge,TEA-21,2368,2368,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P048703,Rock Creek Trail Pedestrian Bridge,Transportation Enhancement Program,737,737,0,0,0,0,0,0,0,0,0
2025,Approved,Montgomery County Public Schools,Countywide,P056501,Restroom Renovations,G.O. Bonds,59158,26872,8286,24000,6000,6000,3000,3000,3000,3000,0
2025,Approved,Montgomery County Public Schools,Miscellaneous Projects,P056516,MCPS Affordability Reconciliation,Current Revenue: General,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Montgomery County Public Schools,Miscellaneous Projects,P056516,MCPS Affordability Reconciliation,G.O. Bonds,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Montgomery County Public Schools,Miscellaneous Projects,P056516,MCPS Affordability Reconciliation,State Aid,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P056608,Elevator Modernization: College,G.O. Bonds,6934,4858,1022,1054,54,200,200,200,200,200,0
2025,Approved,M-NCPPC,Development,P058755,Small Grant/Donor-Assisted Capital Improvements,Contributions,13175,3052,4123,6000,1000,1000,1000,1000,1000,1000,0
2025,Approved,M-NCPPC,Development,P058755,Small Grant/Donor-Assisted Capital Improvements,Current Revenue: General,405,4,101,300,50,50,50,50,50,50,0
2025,Approved,M-NCPPC,Development,P058755,Small Grant/Donor-Assisted Capital Improvements,Current Revenue: M-NCPPC,1006,0,706,300,50,50,50,50,50,50,0
2025,Approved,WSSC,Water Bi-County,P063804,Patuxent Raw Water Pipeline,WSSC Bonds,26891,24465,2426,0,0,0,0,0,0,0,0
2025,Approved,WSSC,Sewerage Montgomery County,P063806,Shady Grove Station Sewer Augmentation,Contributions (WSSC Only),76052,76052,0,0,0,0,0,0,0,0,0
2025,Approved,WSSC,Sewerage Bi-County,P063808,Piscataway WRRF Bio-Energy Project,WSSC Bonds,326353,288238,29978,8137,7097,1040,0,0,0,0,0
2025,Approved,WSSC,Sewerage Bi-County,P063808,Piscataway WRRF Bio-Energy Project,State Aid,6421,3070,0,3351,3351,0,0,0,0,0,0
2025,Approved,Montgomery County Public Schools,Countywide,P076506,Building Modifications and Program Improvements,Contributions,3816,2463,1353,0,0,0,0,0,0,0,0
2025,Approved,Montgomery County Public Schools,Countywide,P076506,Building Modifications and Program Improvements,G.O. Bonds,134787,63122,23665,48000,8000,8000,8000,8000,7000,9000,0
2025,Approved,Montgomery County Public Schools,Miscellaneous Projects,P076510,MCPS Funding Reconciliation,Recordation Tax,411097,0,60297,350800,49340,51788,58649,59824,64013,67186,0
2025,Approved,Montgomery County Public Schools,Miscellaneous Projects,P076510,MCPS Funding Reconciliation,G.O. Bonds,-767387,0,-92466,-674921,-86953,-98701,-112303,-120857,-126766,-129341,0
2025,Approved,Montgomery County Public Schools,Miscellaneous Projects,P076510,MCPS Funding Reconciliation,Schools Impact Tax,189424,0,19325,170099,16630,24232,28508,34210,34210,32309,0
2025,Approved,Montgomery County Public Schools,Miscellaneous Projects,P076510,MCPS Funding Reconciliation,Recordation Tax Premium (MCPS),166866,0,12844,154022,20983,22681,25146,26823,28543,29846,0
2025,Approved,Montgomery County Public Schools,Miscellaneous Projects,P076510,MCPS Funding Reconciliation,Current Revenue: General,0,0,0,0,0,0,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P076601,Site Improvements: College,Current Revenue: General,1000,1000,0,0,0,0,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P076601,Site Improvements: College,G.O. Bonds,22734,17272,1252,4210,610,800,700,700,700,700,0
2025,Approved,Montgomery College,Higher Education,P076604,Rockville Student Services Center,G.O. Bonds,35027,34821,204,2,1,1,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P076604,Rockville Student Services Center,State Aid,35633,34822,809,2,1,1,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P076607,Takoma Park/Silver Spring Math and Science Center,G.O. Bonds,53001,45208,7791,2,1,1,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P076607,Takoma Park/Silver Spring Math and Science Center,State Aid,49901,45208,4691,2,1,1,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P076612,Germantown Student Services Center,G.O. Bonds,68950,0,3738,65212,751,4373,17950,20335,21803,0,0
2025,Approved,Montgomery College,Higher Education,P076612,Germantown Student Services Center,State Aid,68950,0,3738,65212,751,4373,17950,20335,21803,0,0
2025,Approved,Montgomery College,Higher Education,P076617,Student Learning Support Systems,Current Revenue: General,30458,19058,1800,9600,1400,1400,1700,1700,1700,1700,0
2025,Approved,Montgomery College,Higher Education,P076617,Student Learning Support Systems,Recordation Tax,362,362,0,0,0,0,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P076617,Student Learning Support Systems,Contributions,600,0,0,600,300,300,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P076619,Network Infrastructure and Server Operations,Current Revenue: General,61897,33367,4530,24000,3800,3800,4100,4100,4100,4100,0
2025,Approved,Montgomery College,Higher Education,P076619,Network Infrastructure and Server Operations,Recordation Tax,1420,1420,0,0,0,0,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P076619,Network Infrastructure and Server Operations,Contributions,600,0,0,600,300,300,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078701,Pollution Prevention and Repairs to Ponds & Lakes,State Aid,50,50,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078701,Pollution Prevention and Repairs to Ponds & Lakes,State ICC Funding (M-NCPPC Only),1913,1662,251,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078701,Pollution Prevention and Repairs to Ponds & Lakes,Water Quality Protection Bonds,6725,0,0,6725,2000,1125,900,900,900,900,0
2025,Approved,M-NCPPC,Development,P078701,Pollution Prevention and Repairs to Ponds & Lakes,Current Revenue: General,5296,3114,382,1800,300,300,300,300,300,300,0
2025,Approved,M-NCPPC,Development,P078701,Pollution Prevention and Repairs to Ponds & Lakes,Long-Term Financing,1775,0,161,1614,1552,0,62,0,0,0,0
2025,Approved,M-NCPPC,Development,P078701,Pollution Prevention and Repairs to Ponds & Lakes,Current Revenue: Water Quality Protection,725,225,200,300,300,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078701,Pollution Prevention and Repairs to Ponds & Lakes,PAYGO,393,393,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078701,Pollution Prevention and Repairs to Ponds & Lakes,G.O. Bonds,862,848,14,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078702,Brookside Gardens Master Plan Implementation,Contributions,1600,1350,250,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078702,Brookside Gardens Master Plan Implementation,Current Revenue: General,283,283,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078702,Brookside Gardens Master Plan Implementation,G.O. Bonds,5516,4164,1352,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078702,Brookside Gardens Master Plan Implementation,PAYGO,3312,3312,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078702,Brookside Gardens Master Plan Implementation,Program Open Space,1200,1200,0,0,0,0,0,0,0,0,0
